Timestamp,1. Date,2. Time,3. Cameron Basement: Enter the number of people,4. Cameron Main Floor:  Enter the number of people,5. Anything to note? Please share with Library staff any concerns or issues you observed during your shift. 
"Sunday, May 21, 2023 at 5:36:54 PM",5/21/2023,5:30 pm (Fri - Sat - Sun only),16,10,"Patrolled Cameron library main floor and basement - did headcount, checked stairwells, doors, emergency exits and washrooms - No issue to report"
"Sunday, May 21, 2023 at 6:30:34 PM",5/21/2023,6:30 pm,9,15,"Patrolled Cameron library main floor and basement - did headcount, checked stairwells, doors, emergency exits and washrooms - No issue to report"
"Sunday, May 21, 2023 at 7:35:44 PM",5/21/2023,7:30 pm,15,6,"Patrolled Cameron library main floor and basement - did headcount, checked stairwells, doors, emergency exits and washrooms - No issue to report"
"Sunday, May 21, 2023 at 8:28:24 PM",5/21/2023,8:30 pm,5,14,"Patrolled Cameron library main floor and basement - did headcount, checked stairwells, doors, emergency exits and washrooms - No issue to report"
"Sunday, May 21, 2023 at 9:36:33 PM",5/21/2023,9:30 pm,6,1,"Patrolled Cameron library main floor and basement - did headcount, checked stairwells, doors, emergency exits and washrooms - No issue to report"
"Tuesday, May 23, 2023 at 6:33:59 PM",5/23/2023,6:30 pm,19,16,"Patrolled Cameron Library main floor and basement - did headcount, checked stairwells , doors, emergency exits and washrooms - No issue to report."
"Tuesday, May 23, 2023 at 7:47:15 PM",5/23/2023,7:30 pm,14,18,"Patrolled Cameron Library main floor and basement - did headcount, checked stairwells , doors, emergency exits and washrooms - No issue to report."
"Tuesday, May 23, 2023 at 8:32:21 PM",5/23/2023,8:30 pm,24,7,"Patrolled Cameron Library main floor and basement - did headcount, checked stairwells , doors, emergency exits and washrooms - No issue to report."
"Tuesday, May 23, 2023 at 9:35:29 PM",5/23/2023,9:30 pm,9,3,"Patrolled Cameron Library main floor and basement - did headcount, checked stairwells , doors, emergency exits and washrooms - No issue to report."
"Wednesday, May 24, 2023 at 6:34:37 PM",5/24/2023,6:30 pm,28,9,"Patrolled Cameron Library main floor and basement - did headcount, checked stairwells, doors, emergency exits and washrooms - No issue to report."
"Wednesday, May 24, 2023 at 7:36:41 PM",5/24/2023,7:30 pm,7,24,"Patrolled Cameron Library main floor and basement - did headcount, checked stairwells, doors, emergency exits and washrooms - No issue to report."
"Wednesday, May 24, 2023 at 8:42:36 PM",5/24/2023,8:30 pm,16,4,"Patrolled Cameron Library main floor and basement - did headcount, checked stairwells, doors, emergency exits and washrooms - No issue to report."
"Wednesday, May 24, 2023 at 9:26:35 PM",5/24/2023,9:30 pm,6,3,"Patrolled Cameron Library main floor and basement - did headcount, checked stairwells, doors, emergency exits and washrooms - No issue to report."
"Thursday, May 25, 2023 at 6:37:26 PM",5/25/2023,6:30 pm,20,14,"Patrolled Cameron Library main floor and basement - did headcount, checked stairwells, doors, emergency exits and washrooms - No issue to report."
